variable                image                                  cropX   cropY      cropW      cropH       X        Y
_waitress               images/waitress.bmp                    450     10         400        690         320      10         
_customer               images/boy_customer.bmp                450     10         400        690         0        0
_orderPopup             images/customer_order_popup.bmp        100     30         1100       600         0        0
_thanksPopup            images/customer_thanks_popup.bmp       100     30         1100       600         0        0
_wrongOrderPopup        images/customer_wrong_order_popup.bmp  100     30         1100       600         0        0
_food                   images/food.bmp                        100     30         900        600         0        0
_hamburger              images/hamburger.bmp                   400     10         500        500         0        0
_fries                  images/fries.bmp                       300     10         600        670         0        0
_chocolateSmoothie      images/chocolate_smoothie.bmp          400     10         500        677         0        0
_lemonJuice             images/lemon_juice.bmp                 400     10         400        600         0        0
_menuHamburger          images/hamburger.bmp                   400     10         500        500         10       520
_menuFries              images/fries.bmp                       300     10         600        670         80       520
_menuChocolateSmoothie  images/chocolate_smoothie.bmp          400     10         500        677         170      520
_menuLemonJuice         images/lemon_juice.bmp                 400     10         400        600         250      520
_topWalkingCustomer     images/boy_customer.bmp                450     10         400        690         20       100
_bottomWalkingCustomer  images/boy_customer.bmp                450     10         400        690         700      300
_chef                   images/chef.bmp                        450     10         400        700         650      500
_smoke                  images/smoke.bmp                       500     10         300        600         750      470
_topLeftTable           images/table.bmp                       300     10         600        700         80       50
_topRightTable          images/table.bmp                       300     10         600        700         400      50
_bottomLeftTable        images/table.bmp                       300     10         600        700         80       200
_bottomRightTable       images/table.bmp                       300     10         600        700         400      200
_counter                images/counter.bmp                     0       200        800        40          0        450
_stove                  images/stove.bmp                       450     10         550        650         730      520
